Generation: 0 | Time: 08:55:22 | Top Loop Value: -6.65725086428 | Overall Top Value: -6.65725086428
Generation: 55000 | Time: 06:59:13 | Top Loop Value: -3.63772205359 | Overall Top Value: -3.63772205359
Generation: 56000 | Time: 07:10:12 | Top Loop Value: -3.62200556622 | Overall Top Value: -3.62200556622
Generation: 57000 | Time: 07:21:10 | Top Loop Value: -3.60654136739 | Overall Top Value: -3.60654136739
Generation: 58000 | Time: 07:32:09 | Top Loop Value: -3.5932613043 | Overall Top Value: -3.5932613043
Generation: 59000 | Time: 07:43:08 | Top Loop Value: -3.58201482712 | Overall Top Value: -3.58201482712
Generation: 60000 | Time: 07:54:06 | Top Loop Value: -3.56578823498 | Overall Top Value: -3.56578823498
Generation: 61000 | Time: 08:05:07 | Top Loop Value: -3.54911251025 | Overall Top Value: -3.54911251025
Generation: 62000 | Time: 08:16:09 | Top Loop Value: -3.53775734488 | Overall Top Value: -3.53775734488
Generation: 63000 | Time: 08:27:10 | Top Loop Value: -3.52490748434 | Overall Top Value: -3.52490748434
Generation: 64000 | Time: 08:38:10 | Top Loop Value: -3.50751213249 | Overall Top Value: -3.50751213249
Generation: 65000 | Time: 08:49:09 | Top Loop Value: -3.48742056309 | Overall Top Value: -3.48742056309
Generation: 66000 | Time: 09:00:08 | Top Loop Value: -3.48103538117 | Overall Top Value: -3.48103538117
Generation: 67000 | Time: 09:11:07 | Top Loop Value: -3.4732410019 | Overall Top Value: -3.4732410019
Generation: 68000 | Time: 09:22:06 | Top Loop Value: -3.46918470009 | Overall Top Value: -3.46918470009
Generation: 69000 | Time: 09:33:04 | Top Loop Value: -3.44943535835 | Overall Top Value: -3.44943535835
Generation: 70000 | Time: 09:44:03 | Top Loop Value: -3.44212004297 | Overall Top Value: -3.44212004297
Generation: 71000 | Time: 09:55:02 | Top Loop Value: -3.42816107839 | Overall Top Value: -3.42816107839
Generation: 72000 | Time: 10:06:00 | Top Loop Value: -3.41450298703 | Overall Top Value: -3.41450298703
Generation: 73000 | Time: 10:16:59 | Top Loop Value: -3.40127584182 | Overall Top Value: -3.40127584182
Generation: 74000 | Time: 10:27:58 | Top Loop Value: -3.3827837648 | Overall Top Value: -3.3827837648
Generation: 75000 | Time: 10:38:56 | Top Loop Value: -3.37254612037 | Overall Top Value: -3.37254612037
Generation: 76000 | Time: 10:49:55 | Top Loop Value: -3.37139454201 | Overall Top Value: -3.37139454201
Generation: 77000 | Time: 11:00:54 | Top Loop Value: -3.35697841548 | Overall Top Value: -3.35697841548
Generation: 78000 | Time: 11:11:53 | Top Loop Value: -3.33212055353 | Overall Top Value: -3.33212055353
Generation: 79000 | Time: 11:22:51 | Top Loop Value: -3.29746768325 | Overall Top Value: -3.29746768325
Generation: 80000 | Time: 11:33:49 | Top Loop Value: -3.28212397532 | Overall Top Value: -3.28212397532
Generation: 81000 | Time: 11:44:48 | Top Loop Value: -3.26755616077 | Overall Top Value: -3.26755616077
Generation: 82000 | Time: 11:55:47 | Top Loop Value: -3.2487954475 | Overall Top Value: -3.2487954475
Generation: 0 | Time: 03:42:08 | Top Loop Value: -6.65776311307 | Overall Top Value: -6.65776311307
Generation: 1000 | Time: 03:53:15 | Top Loop Value: -3.2340168082 | Overall Top Value: -3.2340168082
Generation: 2000 | Time: 04:04:24 | Top Loop Value: -3.21869166585 | Overall Top Value: -3.21869166585
Generation: 3000 | Time: 04:15:29 | Top Loop Value: -3.21170758834 | Overall Top Value: -3.21170758834
Generation: 4000 | Time: 04:26:33 | Top Loop Value: -3.19644908568 | Overall Top Value: -3.19644908568
Generation: 5000 | Time: 04:37:41 | Top Loop Value: -3.17726522097 | Overall Top Value: -3.17726522097
Generation: 6000 | Time: 04:48:48 | Top Loop Value: -3.17005302477 | Overall Top Value: -3.17005302477
Generation: 7000 | Time: 04:59:53 | Top Loop Value: -3.1601255183 | Overall Top Value: -3.1601255183
Generation: 8000 | Time: 05:10:57 | Top Loop Value: -3.15226835194 | Overall Top Value: -3.15226835194
Generation: 9000 | Time: 05:22:02 | Top Loop Value: -3.13616796933 | Overall Top Value: -3.13616796933
Generation: 10000 | Time: 05:33:06 | Top Loop Value: -3.11160813714 | Overall Top Value: -3.11160813714
Generation: 11000 | Time: 05:44:10 | Top Loop Value: -3.09257742145 | Overall Top Value: -3.09257742145
Generation: 12000 | Time: 05:55:15 | Top Loop Value: -3.07771849339 | Overall Top Value: -3.07771849339
Generation: 13000 | Time: 06:06:19 | Top Loop Value: -3.06595791742 | Overall Top Value: -3.06595791742
Generation: 14000 | Time: 06:17:23 | Top Loop Value: -3.05608146387 | Overall Top Value: -3.05608146387
Generation: 0 | Time: 08:25:18 | Top Loop Value: -6.65990966473 | Overall Top Value: -6.65990966473
Generation: 1000 | Time: 08:36:17 | Top Loop Value: -3.04821500377 | Overall Top Value: -3.04821500377
Generation: 2000 | Time: 08:47:17 | Top Loop Value: -3.03442914887 | Overall Top Value: -3.03442914887
Generation: 3000 | Time: 08:58:16 | Top Loop Value: -3.02257305144 | Overall Top Value: -3.02257305144
Generation: 4000 | Time: 09:09:13 | Top Loop Value: -3.00865966672 | Overall Top Value: -3.00865966672
Generation: 5000 | Time: 09:20:12 | Top Loop Value: -2.99182522037 | Overall Top Value: -2.99182522037
Generation: 6000 | Time: 09:31:11 | Top Loop Value: -2.98561115094 | Overall Top Value: -2.98561115094
Generation: 7000 | Time: 09:42:08 | Top Loop Value: -2.9693996935 | Overall Top Value: -2.9693996935
Generation: 8000 | Time: 09:53:06 | Top Loop Value: -2.9454352405 | Overall Top Value: -2.9454352405
Generation: 9000 | Time: 10:04:03 | Top Loop Value: -2.92093977575 | Overall Top Value: -2.92093977575
Generation: 10000 | Time: 10:15:01 | Top Loop Value: -2.91970810011 | Overall Top Value: -2.91970810011
Generation: 11000 | Time: 10:25:59 | Top Loop Value: -2.89965342919 | Overall Top Value: -2.89965342919
Generation: 12000 | Time: 10:36:56 | Top Loop Value: -2.88839082907 | Overall Top Value: -2.88839082907
Generation: 13000 | Time: 10:47:54 | Top Loop Value: -2.87463212967 | Overall Top Value: -2.87463212967
Generation: 14000 | Time: 10:58:52 | Top Loop Value: -2.86288686187 | Overall Top Value: -2.86288686187
Generation: 0 | Time: 01:05:55 | Top Loop Value: -6.65891385499 | Overall Top Value: -6.65891385499
Generation: 1000 | Time: 01:17:22 | Top Loop Value: -2.85237556852 | Overall Top Value: -2.85237556852
Generation: 2000 | Time: 01:28:49 | Top Loop Value: -2.84074573094 | Overall Top Value: -2.84074573094
Generation: 3000 | Time: 01:40:16 | Top Loop Value: -2.82548815052 | Overall Top Value: -2.82548815052
Generation: 4000 | Time: 01:51:43 | Top Loop Value: -2.81915917612 | Overall Top Value: -2.81915917612
Generation: 5000 | Time: 02:03:12 | Top Loop Value: -2.79386888703 | Overall Top Value: -2.79386888703
Generation: 6000 | Time: 02:14:42 | Top Loop Value: -2.78394344699 | Overall Top Value: -2.78394344699
Generation: 7000 | Time: 02:26:13 | Top Loop Value: -2.77905118019 | Overall Top Value: -2.77905118019
Generation: 8000 | Time: 02:37:41 | Top Loop Value: -2.76567023978 | Overall Top Value: -2.76567023978
Generation: 9000 | Time: 02:49:08 | Top Loop Value: -2.75090103108 | Overall Top Value: -2.75090103108
Generation: 10000 | Time: 03:00:36 | Top Loop Value: -2.7305878224 | Overall Top Value: -2.7305878224
Generation: 11000 | Time: 03:12:05 | Top Loop Value: -2.72416424691 | Overall Top Value: -2.72416424691
Generation: 12000 | Time: 03:23:32 | Top Loop Value: -2.71426727699 | Overall Top Value: -2.71426727699
Generation: 13000 | Time: 03:34:58 | Top Loop Value: -2.70355924615 | Overall Top Value: -2.70355924615
Generation: 14000 | Time: 03:46:23 | Top Loop Value: -2.69667687877 | Overall Top Value: -2.69667687877
Generation: 15000 | Time: 03:57:49 | Top Loop Value: -2.68742289096 | Overall Top Value: -2.68742289096
Generation: 16000 | Time: 04:09:15 | Top Loop Value: -2.66095095993 | Overall Top Value: -2.66095095993
Generation: 17000 | Time: 04:20:40 | Top Loop Value: -2.65549389121 | Overall Top Value: -2.65549389121
Generation: 18000 | Time: 04:32:06 | Top Loop Value: -2.64133641576 | Overall Top Value: -2.64133641576
Generation: 19000 | Time: 04:43:31 | Top Loop Value: -2.63472511821 | Overall Top Value: -2.63472511821
Generation: 20000 | Time: 04:54:56 | Top Loop Value: -2.62524164485 | Overall Top Value: -2.62524164485
Generation: 21000 | Time: 05:06:22 | Top Loop Value: -2.61881196787 | Overall Top Value: -2.61881196787
Generation: 22000 | Time: 05:17:47 | Top Loop Value: -2.61391783407 | Overall Top Value: -2.61391783407
Generation: 23000 | Time: 05:29:13 | Top Loop Value: -2.59185829825 | Overall Top Value: -2.59185829825
Generation: 24000 | Time: 05:40:38 | Top Loop Value: -2.5799393662 | Overall Top Value: -2.5799393662
Generation: 25000 | Time: 05:52:07 | Top Loop Value: -2.56404298552 | Overall Top Value: -2.56404298552
Generation: 26000 | Time: 06:03:33 | Top Loop Value: -2.54523632964 | Overall Top Value: -2.54523632964
Generation: 27000 | Time: 06:15:02 | Top Loop Value: -2.52385686118 | Overall Top Value: -2.52385686118
Generation: 28000 | Time: 06:26:29 | Top Loop Value: -2.51944177124 | Overall Top Value: -2.51944177124
Generation: 29000 | Time: 06:37:57 | Top Loop Value: -2.51711743077 | Overall Top Value: -2.51711743077
Generation: 30000 | Time: 06:49:24 | Top Loop Value: -2.48815338714 | Overall Top Value: -2.48815338714
Generation: 31000 | Time: 07:00:51 | Top Loop Value: -2.45981572164 | Overall Top Value: -2.45981572164
Generation: 32000 | Time: 07:12:18 | Top Loop Value: -2.44993631229 | Overall Top Value: -2.44993631229
Generation: 33000 | Time: 07:23:45 | Top Loop Value: -2.4479542059 | Overall Top Value: -2.4479542059
Generation: 34000 | Time: 07:35:12 | Top Loop Value: -2.44605646733 | Overall Top Value: -2.44605646733
Generation: 35000 | Time: 07:46:39 | Top Loop Value: -2.42724167172 | Overall Top Value: -2.42724167172
Generation: 36000 | Time: 07:58:06 | Top Loop Value: -2.42058191085 | Overall Top Value: -2.42058191085
Generation: 37000 | Time: 08:09:33 | Top Loop Value: -2.40486786841 | Overall Top Value: -2.40486786841
Generation: 38000 | Time: 08:21:00 | Top Loop Value: -2.36979485737 | Overall Top Value: -2.36979485737
Generation: 39000 | Time: 08:32:27 | Top Loop Value: -2.36532870679 | Overall Top Value: -2.36532870679
Generation: 40000 | Time: 08:43:54 | Top Loop Value: -2.36471785256 | Overall Top Value: -2.36471785256
Generation: 41000 | Time: 08:55:22 | Top Loop Value: -2.34267478722 | Overall Top Value: -2.34267478722
Generation: 42000 | Time: 09:06:51 | Top Loop Value: -2.33974512255 | Overall Top Value: -2.33974512255
Generation: 43000 | Time: 09:18:22 | Top Loop Value: -2.33943177051 | Overall Top Value: -2.33943177051
Generation: 44000 | Time: 09:29:53 | Top Loop Value: -2.33402673888 | Overall Top Value: -2.33402673888
Generation: 45000 | Time: 09:41:23 | Top Loop Value: -2.32702802467 | Overall Top Value: -2.32702802467
Generation: 46000 | Time: 09:52:53 | Top Loop Value: -2.32064562122 | Overall Top Value: -2.32064562122
Generation: 47000 | Time: 10:04:28 | Top Loop Value: -2.30423556393 | Overall Top Value: -2.30423556393
Generation: 48000 | Time: 10:16:00 | Top Loop Value: -2.28019671047 | Overall Top Value: -2.28019671047
Generation: 49000 | Time: 10:27:31 | Top Loop Value: -2.27153688849 | Overall Top Value: -2.27153688849
Generation: 50000 | Time: 10:39:03 | Top Loop Value: -2.2652494182 | Overall Top Value: -2.2652494182
Generation: 51000 | Time: 10:50:37 | Top Loop Value: -2.25414811971 | Overall Top Value: -2.25414811971
Generation: 52000 | Time: 11:02:08 | Top Loop Value: -2.25155801517 | Overall Top Value: -2.25155801517
Generation: 53000 | Time: 11:13:36 | Top Loop Value: -2.24207723305 | Overall Top Value: -2.24207723305
Generation: 54000 | Time: 11:25:05 | Top Loop Value: -2.22681894848 | Overall Top Value: -2.22681894848
Generation: 55000 | Time: 11:36:34 | Top Loop Value: -2.22336838012 | Overall Top Value: -2.22336838012
Generation: 56000 | Time: 11:48:04 | Top Loop Value: -2.21211676853 | Overall Top Value: -2.21211676853
Generation: 57000 | Time: 11:59:31 | Top Loop Value: -2.19555857237 | Overall Top Value: -2.19555857237
Generation: 58000 | Time: 12:10:58 | Top Loop Value: -2.18524935563 | Overall Top Value: -2.18524935563
Generation: 59000 | Time: 12:22:26 | Top Loop Value: -2.17149932098 | Overall Top Value: -2.17149932098
Generation: 60000 | Time: 12:33:56 | Top Loop Value: -2.15497143407 | Overall Top Value: -2.15497143407
Generation: 61000 | Time: 12:45:29 | Top Loop Value: -2.15494129185 | Overall Top Value: -2.15494129185
Generation: 62000 | Time: 12:57:00 | Top Loop Value: -2.13392239684 | Overall Top Value: -2.13392239684
Generation: 63000 | Time: 01:08:34 | Top Loop Value: -2.12707158424 | Overall Top Value: -2.12707158424
Generation: 64000 | Time: 01:20:07 | Top Loop Value: -2.12430209832 | Overall Top Value: -2.12430209832
Generation: 65000 | Time: 01:31:41 | Top Loop Value: -2.12128963305 | Overall Top Value: -2.12128963305
Generation: 66000 | Time: 01:43:18 | Top Loop Value: -2.11081896156 | Overall Top Value: -2.11081896156
Generation: 67000 | Time: 01:54:53 | Top Loop Value: -2.10608840487 | Overall Top Value: -2.10608840487
Generation: 68000 | Time: 02:06:29 | Top Loop Value: -2.0964054199 | Overall Top Value: -2.0964054199
Generation: 69000 | Time: 02:18:03 | Top Loop Value: -2.08954483016 | Overall Top Value: -2.08954483016
Generation: 70000 | Time: 02:29:30 | Top Loop Value: -2.07673021845 | Overall Top Value: -2.07673021845
Generation: 71000 | Time: 02:40:57 | Top Loop Value: -2.0708719127 | Overall Top Value: -2.0708719127
Generation: 72000 | Time: 02:52:24 | Top Loop Value: -2.06458665614 | Overall Top Value: -2.06458665614
Generation: 73000 | Time: 03:03:51 | Top Loop Value: -2.0561445647 | Overall Top Value: -2.0561445647
Generation: 74000 | Time: 03:15:18 | Top Loop Value: -2.05595315535 | Overall Top Value: -2.05595315535
Generation: 75000 | Time: 03:26:44 | Top Loop Value: -2.05418295556 | Overall Top Value: -2.05418295556
Generation: 76000 | Time: 03:38:12 | Top Loop Value: -2.03947513338 | Overall Top Value: -2.03947513338
Generation: 77000 | Time: 03:49:39 | Top Loop Value: -2.02530826537 | Overall Top Value: -2.02530826537
Generation: 78000 | Time: 04:01:05 | Top Loop Value: -2.02055016341 | Overall Top Value: -2.02055016341
Generation: 79000 | Time: 04:12:32 | Top Loop Value: -2.0100027633 | Overall Top Value: -2.0100027633
Generation: 80000 | Time: 04:24:00 | Top Loop Value: -2.00441218288 | Overall Top Value: -2.00441218288
Generation: 81000 | Time: 04:35:26 | Top Loop Value: -1.99031124673 | Overall Top Value: -1.99031124673
Generation: 82000 | Time: 04:46:52 | Top Loop Value: -1.98830312742 | Overall Top Value: -1.98830312742
Generation: 83000 | Time: 04:58:19 | Top Loop Value: -1.98015156378 | Overall Top Value: -1.98015156378
Generation: 84000 | Time: 05:09:46 | Top Loop Value: -1.97424278513 | Overall Top Value: -1.97424278513
Generation: 85000 | Time: 05:21:12 | Top Loop Value: -1.9604899017 | Overall Top Value: -1.9604899017
Generation: 86000 | Time: 05:32:39 | Top Loop Value: -1.95677971801 | Overall Top Value: -1.95677971801
Generation: 87000 | Time: 05:44:05 | Top Loop Value: -1.95215544051 | Overall Top Value: -1.95215544051
Generation: 88000 | Time: 05:55:31 | Top Loop Value: -1.9484753163 | Overall Top Value: -1.9484753163
Generation: 89000 | Time: 06:06:58 | Top Loop Value: -1.9423555469 | Overall Top Value: -1.9423555469
Generation: 90000 | Time: 06:18:24 | Top Loop Value: -1.9375143079 | Overall Top Value: -1.9375143079
Generation: 91000 | Time: 06:29:50 | Top Loop Value: -1.92138675896 | Overall Top Value: -1.92138675896
Generation: 92000 | Time: 06:41:16 | Top Loop Value: -1.91036064022 | Overall Top Value: -1.91036064022
Generation: 93000 | Time: 06:52:43 | Top Loop Value: -1.90372359407 | Overall Top Value: -1.90372359407
Generation: 94000 | Time: 07:04:09 | Top Loop Value: -1.89962329777 | Overall Top Value: -1.89962329777
Generation: 95000 | Time: 07:15:36 | Top Loop Value: -1.89513386682 | Overall Top Value: -1.89513386682
Generation: 96000 | Time: 07:27:03 | Top Loop Value: -1.89447868514 | Overall Top Value: -1.89447868514
Generation: 97000 | Time: 07:38:29 | Top Loop Value: -1.88502073801 | Overall Top Value: -1.88502073801
Generation: 98000 | Time: 07:49:56 | Top Loop Value: -1.87949977438 | Overall Top Value: -1.87949977438
Generation: 99000 | Time: 08:01:23 | Top Loop Value: -1.87146994365 | Overall Top Value: -1.87146994365
Generation: 0 | Time: 08:12:51 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 1000 | Time: 08:24:16 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 2000 | Time: 08:35:42 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 3000 | Time: 08:47:08 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 4000 | Time: 08:58:34 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 5000 | Time: 09:10:00 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 6000 | Time: 09:21:27 | Top Loop Value: 0 | Overall Top Value: -1.86243567405
Generation: 0 | Time: 09:35:36 | Top Loop Value: -6.66001013571 | Overall Top Value: -6.66001013571
Generation: 100 | Time: 09:36:42 | Top Loop Value: -1.86243567405 | Overall Top Value: -1.86243567405
Generation: 200 | Time: 09:37:49 | Top Loop Value: -1.861887543 | Overall Top Value: -1.861887543
Generation: 300 | Time: 09:38:56 | Top Loop Value: -1.861887543 | Overall Top Value: -1.861887543
Generation: 400 | Time: 09:40:03 | Top Loop Value: -1.861887543 | Overall Top Value: -1.861887543
Generation: 500 | Time: 09:41:10 | Top Loop Value: -1.85553581475 | Overall Top Value: -1.85553581475
Generation: 600 | Time: 09:42:18 | Top Loop Value: -1.85416543343 | Overall Top Value: -1.85416543343
Generation: 700 | Time: 09:43:25 | Top Loop Value: -1.85216354807 | Overall Top Value: -1.85216354807
Generation: 800 | Time: 09:44:32 | Top Loop Value: -1.85216354807 | Overall Top Value: -1.85216354807
Generation: 900 | Time: 09:45:39 | Top Loop Value: -1.85216354807 | Overall Top Value: -1.85216354807
Generation: 1000 | Time: 09:46:46 | Top Loop Value: -1.85139516815 | Overall Top Value: -1.85139516815
Generation: 1100 | Time: 09:47:53 | Top Loop Value: -1.85139516815 | Overall Top Value: -1.85139516815
Generation: 1200 | Time: 09:49:00 | Top Loop Value: -1.85128639883 | Overall Top Value: -1.85128639883
Generation: 1300 | Time: 09:50:07 | Top Loop Value: -1.85124607145 | Overall Top Value: -1.85124607145
Generation: 1400 | Time: 09:51:14 | Top Loop Value: -1.85124607145 | Overall Top Value: -1.85124607145
Generation: 1500 | Time: 09:52:21 | Top Loop Value: -1.85124607145 | Overall Top Value: -1.85124607145
Generation: 1600 | Time: 09:53:28 | Top Loop Value: -1.8509454576 | Overall Top Value: -1.8509454576
Generation: 1700 | Time: 09:54:35 | Top Loop Value: -1.8509454576 | Overall Top Value: -1.8509454576
Generation: 1800 | Time: 09:55:42 | Top Loop Value: -1.8509454576 | Overall Top Value: -1.8509454576
Generation: 1900 | Time: 09:56:49 | Top Loop Value: -1.8491419797 | Overall Top Value: -1.8491419797
Generation: 0 | Time: 09:57:32 | Top Loop Value: -6.65601734228 | Overall Top Value: -6.65601734228
Generation: 1000 | Time: 10:08:50 | Top Loop Value: -1.84261047435 | Overall Top Value: -1.84261047435
Generation: 2000 | Time: 10:20:09 | Top Loop Value: -1.83747967969 | Overall Top Value: -1.83747967969
Generation: 3000 | Time: 10:31:29 | Top Loop Value: -1.83257257999 | Overall Top Value: -1.83257257999
Generation: 4000 | Time: 10:42:51 | Top Loop Value: -1.82954881429 | Overall Top Value: -1.82954881429
Generation: 5000 | Time: 10:54:13 | Top Loop Value: -1.81682392363 | Overall Top Value: -1.81682392363
Generation: 6000 | Time: 11:05:31 | Top Loop Value: -1.80935903936 | Overall Top Value: -1.80935903936
Generation: 7000 | Time: 11:16:47 | Top Loop Value: -1.80354493788 | Overall Top Value: -1.80354493788
Generation: 8000 | Time: 11:28:04 | Top Loop Value: -1.79031781756 | Overall Top Value: -1.79031781756
Generation: 9000 | Time: 11:39:22 | Top Loop Value: -1.78851655614 | Overall Top Value: -1.78851655614
Generation: 10000 | Time: 11:50:39 | Top Loop Value: -1.77478390182 | Overall Top Value: -1.77478390182
Generation: 11000 | Time: 12:01:57 | Top Loop Value: -1.7565891905 | Overall Top Value: -1.7565891905
Generation: 12000 | Time: 12:13:15 | Top Loop Value: -1.75553746316 | Overall Top Value: -1.75553746316
Generation: 13000 | Time: 12:24:31 | Top Loop Value: -1.74498215002 | Overall Top Value: -1.74498215002
Generation: 14000 | Time: 12:35:47 | Top Loop Value: -1.74460215481 | Overall Top Value: -1.74460215481
Generation: 15000 | Time: 12:47:03 | Top Loop Value: -1.73942899697 | Overall Top Value: -1.73942899697
Generation: 16000 | Time: 12:58:19 | Top Loop Value: -1.72558809806 | Overall Top Value: -1.72558809806
Generation: 17000 | Time: 01:09:34 | Top Loop Value: -1.72302245468 | Overall Top Value: -1.72302245468
Generation: 18000 | Time: 01:20:51 | Top Loop Value: -1.7180984894 | Overall Top Value: -1.7180984894
Generation: 19000 | Time: 01:32:08 | Top Loop Value: -1.71660261006 | Overall Top Value: -1.71660261006
Generation: 20000 | Time: 01:43:25 | Top Loop Value: -1.70783855878 | Overall Top Value: -1.70783855878
Generation: 21000 | Time: 01:54:43 | Top Loop Value: -1.70559423059 | Overall Top Value: -1.70559423059
Generation: 22000 | Time: 02:06:00 | Top Loop Value: -1.69594788167 | Overall Top Value: -1.69594788167
Generation: 23000 | Time: 02:17:17 | Top Loop Value: -1.6920343016 | Overall Top Value: -1.6920343016
